Date,Open,High,Low,Close
03/22/2005,118.37,118.92999,116.89999,116.89999
03/23/2005,116.94501,117.72,116.75,117.0
03/24/2005,117.46001,117.99001,117.06,117.14
03/28/2005,117.42,117.94,117.31,117.31
03/29/2005,117.14,117.89999,116.25,116.53
03/30/2005,116.78,118.2,116.77,118.17999
03/31/2005,118.19,118.46001,117.87,117.96001
04/01/2005,118.63,118.99001,116.91,117.42999
04/04/2005,117.36,117.86,116.74001,117.63
04/05/2005,117.78,118.38,117.67,118.19
04/06/2005,118.45,118.95,118.17999,118.60001
04/07/2005,118.41,119.25999,118.32001,119.24001
04/08/2005,119.17,119.21001,118.0,118.0
04/11/2005,118.28999,118.42,117.83,118.09
04/12/2005,117.89,119.06,117.07001,118.7
04/13/2005,118.56,118.8,117.13,117.3
04/14/2005,117.44,117.5,115.77,115.77
04/15/2005,115.74001,116.2,114.10001,114.14999
04/18/2005,114.12,114.96001,113.96001,114.5
04/19/2005,115.10001,115.71001,114.83,115.41
04/20/2005,115.39999,115.63,113.55,113.8
04/21/2005,114.78999,116.21001,114.38,116.00999
04/22/2005,115.74001,116.5,114.27,115.57001
04/25/2005,115.86,116.5,115.72,116.33
04/26/2005,115.96001,116.77,115.14999,115.2
04/27/2005,114.86,116.07001,114.44,115.64999
04/28/2005,115.27,115.67999,114.2,114.2
04/29/2005,115.07001,115.87,113.97,115.75
05/02/2005,116.07001,116.41,115.52,116.39999
05/03/2005,116.07001,116.85001,115.69,116.60001
05/04/2005,116.64999,117.75,116.28,117.5
05/05/2005,117.67,118.0,116.74001,117.46001
05/06/2005,117.92999,117.99001,117.06,117.09
05/09/2005,117.21001,118.08,117.05,117.82001
05/10/2005,117.36,117.5,116.39,116.60001
05/11/2005,116.92999,117.39999,115.85001,117.24001
05/12/2005,117.32001,117.59,115.41,115.95
05/13/2005,116.3,116.62,114.8,115.72
05/16/2005,115.7,116.84,115.66,116.8
05/17/2005,116.42999,117.7,116.16,117.58
05/18/2005,118.07001,119.08,118.00999,118.78999
05/19/2005,119.02,119.41,118.7,119.28999
05/20/2005,119.34,119.39,118.74001,119.12
05/23/2005,119.21001,120.03999,119.19,119.78
05/24/2005,119.44,119.83,119.2,119.5
05/25/2005,119.35001,119.87,118.83,119.41
05/26/2005,119.78999,120.21001,119.62,120.05
05/27/2005,120.06,120.25,119.8,120.25
05/31/2005,120.08,120.17,119.39999,119.48
06/01/2005,119.52,120.92,119.45,120.5
06/02/2005,120.23,120.84,120.10001,120.75999
06/03/2005,120.55,120.89,119.73,120.14999
06/06/2005,120.02,120.2,119.55,120.03999
06/07/2005,120.39,121.25,120.00999,120.13
06/08/2005,120.42999,120.59,119.67,119.91
06/09/2005,119.74001,120.58,119.44,120.48
06/10/2005,120.56,120.64999,119.60001,120.2
06/13/2005,119.94,121.08,119.81,120.58
06/14/2005,120.45,121.2,120.38,120.86
06/15/2005,121.16,121.24001,120.23,121.09
06/16/2005,121.09,121.64,120.92,121.39999
06/17/2005,121.53999,121.89999,120.49001,121.36
06/20/2005,121.08,121.84,120.94,121.39999
06/21/2005,121.5,121.64999,121.03,121.47
06/22/2005,121.67999,121.94,121.07001,121.57001
06/23/2005,121.32001,121.60001,119.83,119.86
06/24/2005,119.88,120.0078,118.84,118.98
06/27/2005,118.97,119.41,118.75,119.14999
06/28/2005,119.39999,120.24001,119.37,120.14999
06/29/2005,120.37,120.39999,119.75999,119.83
06/30/2005,120.22,120.32001,118.95,119.17999
07/01/2005,119.45,119.8,119.21001,119.53
07/05/2005,119.25,120.64999,119.19,120.49001
07/06/2005,120.39,120.64999,119.41,119.48
07/07/2005,118.28999,119.95,118.25999,119.95
07/08/2005,119.97,121.32001,119.72,121.32001
07/11/2005,121.33,122.10001,121.31,121.94
07/12/2005,121.89,122.63,121.64,122.25999
07/13/2005,122.27,122.52,121.99001,122.42999
07/14/2005,122.98,123.44,122.49001,122.91
07/15/2005,122.78999,123.03999,122.36,122.84
07/18/2005,122.5,122.63,122.05,122.35001
07/19/2005,122.71001,123.11,122.41,123.02
07/20/2005,122.59,123.73,122.3,123.44
07/21/2005,123.55,123.61,122.47,122.72
07/22/2005,122.88,123.56,122.63,123.53999
07/25/2005,123.41,123.95,122.85001,123.19
07/26/2005,123.23,123.53,122.37,123.34
07/27/2005,123.5,123.89,123.05,123.78999
07/28/2005,123.99001,124.64,123.64,124.57001
07/29/2005,124.41,124.63,123.5,123.74001
08/01/2005,123.83,124.03999,123.45,123.64999
08/02/2005,123.87,124.60001,123.74001,124.39
08/03/2005,124.25,124.74001,124.12,124.72
08/04/2005,124.23,124.31,123.57001,123.72
08/05/2005,123.45,123.98,122.67,122.88
08/08/2005,123.17,123.41,122.38,122.64999
08/09/2005,123.06,123.59,122.87,123.39
08/10/2005,123.82001,124.5,122.82001,123.33
08/11/2005,123.27,124.03,123.00999,123.82001
08/12/2005,123.57001,123.69,122.75,123.06
08/15/2005,123.22,123.87,122.83,123.82001
08/16/2005,123.44,123.52,122.09,122.21001
08/17/2005,122.19,122.87,122.03,122.2
08/18/2005,122.05,122.56,121.84,122.19
08/19/2005,122.63,122.82001,122.2,122.47
08/22/2005,122.58,123.23,121.88,122.47
08/23/2005,122.5,122.61,121.14999,122.24001
08/24/2005,121.94,122.73,121.09,121.14999
08/25/2005,121.35001,121.67,121.21001,121.59
08/26/2005,121.48,121.49001,120.67999,120.75999
08/29/2005,120.41,121.78,120.38,121.69
08/30/2005,121.25,121.3,120.39,121.05
08/31/2005,121.19,122.66,120.74001,122.58
09/01/2005,122.50999,123.14999,121.14,122.49001
09/02/2005,122.85001,122.88,122.03999,122.27
09/06/2005,122.66,123.8,122.64999,123.7
09/07/2005,123.63,124.13,123.46001,123.91
09/08/2005,123.66,124.0,123.31,123.5
09/09/2005,123.83,124.74001,123.8,124.60001
09/12/2005,124.45,124.67,124.27,124.35001
09/13/2005,124.13,124.42,123.52,123.66
09/14/2005,123.75,123.92,123.02,123.21001
09/15/2005,123.50999,123.64999,122.89999,123.14999
09/16/2005,123.28,123.74001,122.87,123.5
09/19/2005,123.47,123.55,122.64,123.09
09/20/2005,123.21001,123.61,121.87,122.05
09/21/2005,121.78999,121.87,120.78,120.91
09/22/2005,120.95,121.66,120.44,121.34
09/23/2005,121.24001,121.89,120.89999,121.44
09/26/2005,122.02,122.24001,121.08,121.58
09/27/2005,121.52,121.99001,121.02,121.55
09/28/2005,121.91,122.12,121.2,121.67
09/29/2005,121.55,122.86,121.08,122.66
09/30/2005,122.62,123.03999,122.45,123.03999
10/03/2005,122.96001,123.34,122.45,122.60001
10/04/2005,122.78999,123.03,121.16,121.22
10/05/2005,121.25,121.31,119.57001,119.63
10/06/2005,119.78,120.25999,118.17,119.2
10/07/2005,119.7,120.05,119.13,119.61
10/10/2005,119.67999,119.71001,118.3,118.60001
10/11/2005,118.99001,119.39,118.32001,118.42999
10/12/2005,118.39,119.13,117.41,117.5
10/13/2005,117.46001,118.08,116.88,117.42999
10/14/2005,118.12,118.81,117.56,118.67
10/17/2005,118.77,119.27,118.45,119.11
10/18/2005,118.94,118.96001,117.8,117.82001
10/19/2005,117.56,119.8,117.12,119.78
10/20/2005,119.49001,119.81,117.3,117.67
10/21/2005,118.28999,118.78,117.50999,118.13
10/24/2005,118.44,120.09,118.41,119.96001
10/25/2005,119.72,120.24001,118.94,119.72
10/26/2005,119.50999,120.53999,119.19,119.37
10/27/2005,119.2,119.37,117.92999,118.10001
10/28/2005,118.42999,119.95,118.10001,119.8
10/31/2005,120.28999,121.3,120.13,120.13
11/01/2005,120.58,120.89999,120.22,120.49001
11/02/2005,120.17,121.75,120.13,121.75
11/03/2005,122.14999,122.66,121.75,122.27
11/04/2005,122.39999,122.46001,121.55,122.11
